UAC command execution result : succeeds,SuperSEP,PLW_Bit,895100,,Undesignated
UAC command execution result : invalid command,SuperSEP,PLW_Bit,895101,,Undesignated
UAC command execution result : account exists,SuperSEP,PLW_Bit,895102,,Undesignated
UAC command execution result : account not exists,SuperSEP,PLW_Bit,895103,,Undesignated
UAC command execution result : password error,SuperSEP,PLW_Bit,895104,,Undesignated
UAC command execution result : deny command,SuperSEP,PLW_Bit,895105,,Undesignated
UAC command execution result : invalid name,SuperSEP,PLW_Bit,895106,,Undesignated
UAC command execution result : invalid password character exists,SuperSEP,PLW_Bit,895107,,Undesignated
UAC command execution result : invalid import data,SuperSEP,PLW_Bit,895108,,Undesignated
UAC command execution result : out of validity range,SuperSEP,PLW_Bit,895109,,Undesignated
UAC privilege (Class A ),SuperSEP,PLW_Bit,895300,,Undesignated
UAC privilege (Class B ),SuperSEP,PLW_Bit,895301,,Undesignated
UAC privilege (Class C ),SuperSEP,PLW_Bit,895302,,Undesignated
UAC privilege (Class D ),SuperSEP,PLW_Bit,895303,,Undesignated
UAC privilege (Class E ),SuperSEP,PLW_Bit,895304,,Undesignated
UAC privilege (Class F ),SuperSEP,PLW_Bit,895305,,Undesignated
UAC privilege (Class G ),SuperSEP,PLW_Bit,895306,,Undesignated
UAC privilege (Class H ),SuperSEP,PLW_Bit,895307,,Undesignated
UAC privilege (Class I ),SuperSEP,PLW_Bit,895308,,Undesignated
UAC privilege (Class J ),SuperSEP,PLW_Bit,895309,,Undesignated
UAC privilege (Class K ),SuperSEP,PLW_Bit,895310,,Undesignated
UAC privilege (Class L ),SuperSEP,PLW_Bit,895311,,Undesignated
UAC command,SuperSEP,PLW,8950,,Undesignated
UAC command execution result,SuperSEP,PLW,8951,,Undesignated
UAC user index,SuperSEP,PLW,8952,,Undesignated
UAC user privilege,SuperSEP,PLW,8953,,Undesignated
UAC user name,SuperSEP,PLW,8954,,Undesignated
UAC password,SuperSEP,PLW,8962,,Undesignated
0,1,2,3,4.0,5
UG01_Comandos.Emergencia_Local,UG01,1x,12289,,Bit
UG02_Comandos.Emergencia_Local,UG02,1x,12289,,Bit
UG03_Comandos.Emergencia_Local,UG03,1x,12289,,Bit
UG04_Comandos.Emergencia_Local,UG04,1x,12289,,Bit
UG01_Comandos.Emergencia_SuperSEP,UG01,1x,12290,,Bit
UG02_Comandos.Emergencia_SuperSEP,UG02,1x,12290,,Bit
UG03_Comandos.Emergencia_SuperSEP,UG03,1x,12290,,Bit
UG04_Comandos.Emergencia_SuperSEP,UG04,1x,12290,,Bit
UG01_Comandos.Ctrl_Modo_Manual_Habilitar,UG01,1x,12291,,Bit
UG02_Comandos.Ctrl_Modo_Manual_Habilitar,UG02,1x,12291,,Bit
